,School
1,Akron
2,Alabama
3,Alabama at Birmingham
4,Appalachian State
8,Arkansas State
10,Auburn
11,Ball State
13,Boise State
15,Bowling Green
17,Buffalo
18,California
20,Central Michigan
21,Charlotte
22,Cincinnati
23,Clemson
24,Coastal Carolina
25,Colorado
26,Colorado State
27,Connecticut
29,East Carolina
30,Eastern Michigan
32,Florida Atlantic
33,Florida International
35,Fresno State
36,Georgia
38,Georgia State
39,Georgia Tech
40,Hawaii
41,Houston
42,Illinois
43,Indiana
44,Iowa
45,Iowa State
46,Kansas
47,Kansas State
49,Kentucky
51,Louisiana Tech
53,Louisiana-Monroe
54,Louisville
55,LSU
56,Marshall
57,Maryland
58,Massachusetts
59,Memphis
61,Miami (Ohio)
62,Michigan
63,Michigan State
64,Middle Tennessee
65,Minnesota
68,Missouri
71,Nevada
72,Nevada-Las Vegas
73,New Mexico
74,New Mexico State
75,North Carolina
76,North Carolina State
77,North Texas
78,Northern Illinois
81,Ohio
82,Ohio State
83,Oklahoma
84,Oklahoma State
85,Old Dominion
88,Penn State
90,Purdue
92,Rutgers
93,San Diego State
94,San Jose State
96,South Carolina
97,South Florida
100,Southern Mississippi
12,Syracuse
104,Texas
107,Texas State
108,Texas Tech
110,Texas-San Antonio
111,Toledo
112,Troy
116,Utah
117,Utah State
119,Virginia
120,Virginia Tech
122,Washington
123,Washington State
124,West Virginia
125,Western Kentucky
126,Western Michigan
128,Wyoming
