,0
RegionID,0
SizeRank,0
RegionName,0
RegionType,0
StateName,0
State,0
City,1353
Metro,6026
CountyName,0
2000-01-31,14086
2000-02-29,14020
2000-03-31,14006
2000-04-30,13987
2000-05-31,13924
2000-06-30,13913
2000-07-31,13897
2000-08-31,13872
2000-09-30,13856
2000-10-31,13843
2000-11-30,13823
2000-12-31,13807
2001-01-31,13677
2001-02-28,13640
2001-03-31,13599
2001-04-30,13564
2001-05-31,13541
2001-06-30,13531
2001-07-31,13519
2001-08-31,13493
2001-09-30,13441
2001-10-31,13409
2001-11-30,13381
2001-12-31,13359
2002-01-31,13313
2002-02-28,13293
2002-03-31,13262
2002-04-30,13131
2002-05-31,13106
2002-06-30,13022
2002-07-31,13009
2002-08-31,12941
2002-09-30,12933
2002-10-31,12913
2002-11-30,12902
2002-12-31,12900
2003-01-31,12824
2003-02-28,12798
2003-03-31,12765
2003-04-30,12743
2003-05-31,12706
2003-06-30,12684
2003-07-31,12641
2003-08-31,12594
2003-09-30,12532
2003-10-31,12472
2003-11-30,12443
2003-12-31,12430
2004-01-31,12355
2004-02-29,12338
2004-03-31,12319
2004-04-30,12269
2004-05-31,12251
2004-06-30,12238
2004-07-31,12217
2004-08-31,12177
2004-09-30,12165
2004-10-31,12164
2004-11-30,12121
2004-12-31,12118
2005-01-31,12053
2005-02-28,12006
2005-03-31,11984
2005-04-30,11972
2005-05-31,11907
2005-06-30,11859
2005-07-31,11787
2005-08-31,11739
2005-09-30,11734
2005-10-31,11712
2005-11-30,11694
2005-12-31,11700
2006-01-31,11675
2006-02-28,11650
2006-03-31,11650
2006-04-30,11623
2006-05-31,11593
2006-06-30,11575
2006-07-31,11549
2006-08-31,11519
2006-09-30,11489
2006-10-31,11496
2006-11-30,11496
2006-12-31,11473
2007-01-31,11384
2007-02-28,11360
2007-03-31,11343
2007-04-30,11338
2007-05-31,11284
2007-06-30,11254
2007-07-31,11240
2007-08-31,11170
2007-09-30,11145
2007-10-31,11111
2007-11-30,11107
2007-12-31,11106
2008-01-31,11024
2008-02-29,10997
2008-03-31,10971
2008-04-30,10950
2008-05-31,10939
2008-06-30,10870
2008-07-31,10825
2008-08-31,10788
2008-09-30,10777
2008-10-31,10716
2008-11-30,10691
2008-12-31,10635
2009-01-31,9967
2009-02-28,9550
2009-03-31,9095
2009-04-30,8803
2009-05-31,8609
2009-06-30,8458
2009-07-31,8363
2009-08-31,8285
2009-09-30,8219
2009-10-31,8188
2009-11-30,8166
2009-12-31,8137
2010-01-31,8114
2010-02-28,8095
2010-03-31,8060
2010-04-30,8031
2010-05-31,8006
2010-06-30,7983
2010-07-31,7937
2010-08-31,7918
2010-09-30,7885
2010-10-31,7871
2010-11-30,7840
2010-12-31,7827
2011-01-31,7799
2011-02-28,7787
2011-03-31,7755
2011-04-30,7724
2011-05-31,7693
2011-06-30,7652
2011-07-31,7629
2011-08-31,7609
2011-09-30,7599
2011-10-31,7574
2011-11-30,7540
2011-12-31,7501
2012-01-31,6247
2012-02-29,6211
2012-03-31,6209
2012-04-30,6217
2012-05-31,6223
2012-06-30,6209
2012-07-31,6183
2012-08-31,6136
2012-09-30,6117
2012-10-31,6093
2012-11-30,6070
2012-12-31,6042
2013-01-31,5764
2013-02-28,5748
2013-03-31,5734
2013-04-30,5716
